,Movie_Title,Year_of_Release,Director,Genre,Runtime,IMDb_Rating,IMDb_Votes,Metascore,Gross,Plot_Outline
1423,Haseena Maan Jayegi,1968,"Directors:Prakash Mehra,Prakash Mehra","Action, Drama, Musical            ",165 min,6.8,124, , ,An army officer's wife is unsure if the man she is living with is her husband or his look-alike.
1424,Geet Gaata Chal,1975,Director:Hiren Nag,"Comedy, Drama, Family            ",130 min,6.9,124, , ,"Durga Babu, and his wife, Ganga, comes across Shyam, an orphan, who sings and dances on special occasions, and decide to take him home. Shyam meets with their daughter, Radha, and she ...                See full summary »"
1425,Khote Sikkay,1974,Director:Narendra Bedi,"Action, Crime, Drama            ",132 min,6.2,124, , ,"Jhanga (Ajit) is a cruel, brutal, and heartless dacait, who has terrorized the entire countryside. The police are unable to capture him, as he has several hideouts and nearby villagers are ...                See full summary »"
1426,Wah Taj,2016,Director:Ajit Sinha,Drama            ,125 min,5.3,123, , ,Tukaram Marathe a farmer from Maharashtra comes to Agra with his family and claims that the land where Taj Mahal stands is his.
1427,Dil Hai Betaab,1993,Director:K.C. Bokadia,"Action, Drama, Romance            ",157 min,3.2,123, , ,Meena is an attractive young lady who lives with her middle-classed parents in a city in India. Her father is Parshuram who works as a chaprasi (peon) with an organization run by the ...                See full summary »
1428,Pehla Pehla Pyar,1994,Director:Manmohan Singh,"Comedy, Drama, Romance            ", ,5.1,123, , ,"Sapna runs away from her aristocratic home, fed-up of the hatred and family politics. She meets with Raj, who she is attracted to. Raj, at first wants to get rid of her, then eventually ...                See full summary »"
1429,Samadhi,1972,Director:Prakash Mehra,"Action, Drama, Romance            ",139 min,6.7,123, , ,"Lakhan Singh gives his life of a Dacoit and lives a happy life with his wife Champa when his son Jaswant becomes three years old, Champa becomes ill with cancer and circumstances force him to be again a Dacoit."
1430,2001: Do Hazaar Ek,1998,Director:Raj N. Sippy,"Crime, Mystery, Thriller            ",149 min,3.6,123, , ,"Following the brutal slaying of a call-girl named Julie in Bombay city, two police inspectors, namely Anil Sharma and Rajat Bedi, are assigned to investigate and bring the culprit(s) to ...                See full summary »"
1431,Billoo Baadshah,1989,Director:Sisir Misra,"Action, Crime, Drama            ",148 min,4.5,123, , ,An orphan makes sacrifices for the family who took him in but subsequently faces humiliation and homelessness.
1432,Aaye Din Bahar Ke,1966,Director:Raghunath Jhalani,"Musical, Romance            ",170 min,6.6,123, , ,"Ravi is an eligible bachelor, who lives with his mother. The whereabouts of his dad are unknown. He meets with beautiful Kanchan and both fall in love. But they face major hurdles, as Ravi ...                See full summary »"
1433,Bluff Master,1963,Director:Manmohan Desai,Romance            ,135 min,6.5,123, , ,An inveterate con man falls in love and realizes the error of his ways after his mother comes to know the truth about him.
1434,Shikar,1968,Director:Atma Ram,"Mystery, Thriller            ",139 min,6.6,123, , ,"Manager Ajay Singh find out that a man by the name of Naresh is murdered and inform police inspector Rai, but all evidences are tampered with at the crime scene and as a result the murderer...                See full summary »"
1435,Bal Bramhachari,1996,"Directors:Prakash Mehra,Bindu Shukla","Action, Drama            ",163 min,2.7,123, , ,Professor Vijay Tripathi and Bhujbal Choudhury have a small land dispute between themselves forcing Bhujbal and his men to mercilessly kill Vijay making his death look as though lightning ...                See full summary »
1436,Prem Nagar,1974,Director:K.S. Prakash Rao,"Drama, Musical, Romance            ",200 min,6.3,123, , ,"Karan Singh, the younger scion of a wealthy zamindar (heriditary land owners) who lives in feudal splendour. His older brother 'lords' it over the hundreds of serfs who contribute to the ...                See full summary »"
1437,Hume Tumse Pyaar Kitna,2019,Director:Lalit Mohan,"Action, Drama, Romance            ",91 min,4.8,122, , ,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).
1438,Toba Tek Singh,2018,Director:Ketan Mehta,"Drama, History            ",75 min,6.9,122, , ,Toba Tek Singh is a story about the aftershocks of the partition between India and Pakistan. The story is written by Saadat Hassan Manto.
1439,Qila,1998,Director:Umesh Mehra,"Drama, Family, Music            ",133 min,5.1,122, , ,"When landowner Jagannath Singh (Dilip Kumar) is murdered, his twin brother Amarnath Singh (also Dilip Kumar) decides to investigate, and finds the list of suspects is seemingly endless. ...                See full summary »"
1440,Do Ladke Dono Kadke,1979,Director:Basu Chatterjee,"Comedy, Crime            ", ,6,122, , ,"Two petty thieves decide to rob a house that kidnappers had decided to kidnap a child from, what results is chaos, as the child ends up with the petty thieves, and both the thieves and the ...                See full summary »"
1441,Love Express,2011,Director:Sunny Bhambhani,"Comedy, Drama            ",141 min,5.4,121, , ,A series of rumors and the incompatibility of the bride and groom threaten to derail a train-bound wedding party.
1442,Madholal Keep Walking,2009,Director:Jai Tank,"Comedy, Drama            ",121 min,6.1,121, , ,A man's life changes after he sustains an injury in a terrorist attack.
1443,Sindoor,1987,Director:K. Ravi Shankar,"Comedy, Drama            ",162 min,5.1,121, , ,"Vijay forces his wife Laxmi to leave her house, suspecting an extra marital affair. Years later, Vijay and Laxmi come face to face and start meeting each other."
1444,Besharam,1978,Director:Deven Verma,"Action, Drama            ",139 min,5.4,121, , ,"In order to prevent honest Ramchandra from being elected as Mayor, Digvijay Singh alias Dharamdas sets his men upon him, his son, Ram Kumar, and his wife, all in vain, as Ramchandra wins. ...                See full summary »"
1445,Little Terrors,2014,Director:Maninder Chana,Drama            ,103 min,5.8,120, , ,"A 13-year-old American boy is recruited by terrorists to bomb a U.S. embassy in Delhi. After being brainwashed he is sent to live with a Muslim family prior to the attack. However, the man ...                See full summary »"
1446,Life! Camera Action...,2012,Director:Rohit Gupta,"Drama, Family            ",90 min,5.9,120, , ,A young girl in pursuit of her dreams of becoming a filmmaker against all odds.
1447,Ashanti,1982,Director:Umesh Mehra,"Action, Adventure, Crime            ", ,5.8,120, , ,"Honest and dedicated Police Inspector Kumar Chandra Singh intercepts a bank robbery, and is in the process of arresting the bank robbers, when he himself becomes a suspect, and is ...                See full summary »"
1448,Apna Desh,1972,Director:Jambulingam,"Action, Comedy, Drama            ", ,6.2,120, , ,"Akash is a honest and educated young man, employed by the Bombay Municipal Corporation as a clerk. He lives with his equally honest brother, his sister-in-law, a niece, Sharda, and a nephew...                See full summary »"
1449,Naukari,1955,Director:Bimal Roy,"Drama, Family            ",142 min,7.4,120, , ,"Comic, tragic, and heartrending saga of Ratan Kumar Chaudhary (Kishore Kumar), who leaves his village, aging mom, and seriously ill sister, to obtain employment in Calcutta, only to end up ...                See full summary »"
1450,Mirza Ghalib,1954,Director:Sohrab Modi,"Biography, Drama, Musical            ",145 min,6.9,113, , ,"This movie depicts the life of once wealthy poet and nobleman Mirza Ghalib. This story portrays his trials, tribulations, triumphs, and utlimate descent to poverty, and then to prison; and ...                See full summary »"
1451,Dalaal,1993,Director:Partho Ghosh,"Action, Drama            ",160 min,4.9,113, , ,"Naive, illiterate Bhola Nath lives in a small village in India, which has yet to receive electricity. Bhola is helpful to everyone around him, and even speaks out against the local ...                See full summary »"
1452,Pratikar,1991,Director:Rama Rao Tatineni,"Action, Crime, Drama            ",150 min,4.9,113, , ,"After the ""accidental"" death of his father, Narayan Srivastav (Satyen Kappu), young Krishna is driven out of the house by his paternal uncle Sajhan (Paresh Rawal), and goes to live with his...                See full summary »"
1453,Thodisi Bewafaii,1980,Director:Esmayeel Shroff,Drama            ,150 min,6,113, , ,"Arvind Kumar Choudhary is widowed, respectable and wealthy businessman, who lives with his only son, Arun, in a palatial house. He re-marries another woman, Sujata, who is a widow, with two...                See full summary »"
1454,Bandhe Haath,1973,Director:O.P. Goyle,"Action, Thriller            ",139 min,5.7,113, , ,"Shyamu is an orphan, living with his mentor, and has made stealing his career. While his mentor is recuperating in hospital, from a fracture, Shyamu decides to go straight. He is mistaken ...                See full summary »"
1455,Gaon,2018,Director:Gautam Singh,Drama            ,124 min,5.2,112, , ,A village kept secret for centuries receives a visitor at long last and finds the course of its destiny changed forever.
1456,Masala Republic,2014,Director:Visakh G S,"Comedy, Thriller            ",135 min,5.3,112, , ,"The government has banned the use of pan masala products in the state. Politicians, the public, the police and the media take advantage of the situation."
1457,Aatank,1996,"Directors:Prem Lalwani,Desh Mukherjee","Action, Thriller            ",113 min,3.6,112, , ,Jesu and Peter are childhood friends who live in a coastal village in India and depend on fishing as their livelihood. The community is oppressed by a powerful gangster named Alphonso. Jesu...                See full summary »
1458,Yaad Rakhegi Duniya,1992,Director:Deepak Anand,"Drama, Romance            ",153 min,6.5,112, , ,"A terminally ill and depressed young man falls in love with a mischievous young woman who, it turns out, is also suffering from a fatal disease."
1459,Paap Ki Duniya,1988,Director:Shibu Mitra,"Action, Drama, Romance            ",168 min,5,112, , ,When a jailer hears that his sister is in love with a guy he is quite delighted to meet this guy only to find out that this guy is none other than a criminal called Pasha. Worst off the ...                See full summary »
1460,Milan,1995,Director:Mahesh Bhatt,"Action, Crime, Romance            ", ,4.8,112, , ,"Raja leads a life of crime; his girlfriend, Priya convinces him to give up his criminal ways to which he agrees to not only earn an honest living but provide the police with the names and ...                See full summary »"
1461,Mohabbat,1985,Director:Bapu,Romance            ,134 min,5.5,112, , ,"Shekhar is in love with Pooja and would like to marry her. Pooja is the only daughter of Choudhury, the apple of his eye, and he agrees to get her married to Shekhar. Shekhar informs his ...                See full summary »"
1462,Farz,1967,Director:Ravikant Nagaich,"Action, Crime, Thriller            ",170 min,6.2,112, , ,"When Criminal Investigating Officer, Amarnath is murdered during the line of duty; Intelligence suspect it is the handiwork of foreign criminals who wants to destroy India with the help of ...                See full summary »"
1463,Pardesi,1957,"Directors:Khwaja Ahmad Abbas,Vasili Pronin","Adventure, Biography, History            ",152 min,7,112, , ,"The film is based on travelogues of XV century Russian traveler Afanasy Nikitin called ""A journey beyond the three seas"""
1464,Musafir,1957,Director:Hrishikesh Mukherjee,Drama            ,149 min,7.3,112, , ,The story is about a house consisting of three families who live in it. It is three stories linked by the house.
1465,Ek Haseena Thi Ek Deewana Tha,2017,Director:Suneel Darshan,Drama            ,105 min,2.5,111, , ,"Natasha and her fiance, Sunny visit her ancestral property where she meets Devdhar, a man who she forms a passionate connection with."
1466,Gollu Aur Pappu,2014,Director:Kabir Sadanand,Comedy            ,112 min,3.7,111, , ,Two butt-head brothers are muddled in the midst of executing a bomb threat. What's worse than a national bomb scare? When the bomb is in the hands of two idiots.
1467,Khap,2011,Director:Ajai Sinha,"Drama, Thriller            ",125 min,5,111, , ,Human rights workers encounter obstacles while investigating killings in modern secular India.
1468,Ghar Pe Bataao,2021,Director:Neshu Saluja,Drama            ,72 min,7.2,111, , ,"After 5 years of their relationship, the girl struggles to convince the boy to apprise his parents about them. The boys seems to be dithering and stalling because he is aware the full ...                See full summary »"
1469,Aanch,2003,Director:Rajesh Ram Singh,Drama            ,160 min,5.6,111, , ,"Diwakar and Vidya, who have never met each other, escape from their marriage after a quarrel between their villages. In the city, Diwakar later learns that she is his lawfully wedded wife."
1470,Gora Aur Kala,1972,Director:Naresh Kumar,"Action, Comedy, Drama            ",128 min,5.1,111, , ,"The Emperor of a distant Kingdom in India is overjoyed when his wife gives birth to twin sons. Before he could announce his joy openly, his enemies, Zoravar and Shamsher, take over the ...                See full summary »"
1471,Jaal,1986,Director:Umesh Mehra,"Action, Drama, Thriller            ", ,5.1,111, , ,"Shankar Verma lives a poor lifestyle with his mom, Shanti, in India after His father, Sathpal, leaves the family for a courtesan by the name of Meenabai. Years later, Shankar has now grown ...                See full summary »"
1472,Man Pasand,1980,Director:Basu Chatterjee,"Comedy, Drama            ", ,6.7,111, , ,"Kamli belongs to a poor family. She sells datuns for a living. She sells them in local suburban trains as well as on railway platforms. One day she meets a bachelor named Pratap, who would ...                See full summary »"
1473,Griha Pravesh,1979,Director:Basu Bhattacharya,"Drama, Romance            ",134 min,6.9,111, , ,"Amar and Mansi meet through their respective families and have an arranged marriage. Amar, a book-keeper, is very thrifty, intends to save money so that they can buy their very own flat, ...                See full summary »"
1474,Swarag Se Sunder,1986,Director:K. Bapaiah,Drama            , ,5.1,111, , ,Vijay is the head of the village living with his wife Laxmi he is looked with respect by everyone in village for the changes he has done to his village but Milavat Ram and Paanalal are ...                See full summary »
1475,Sangdil,1952,Director:R.C. Talwar,"Drama, Mystery, Romance            ",150 min,6.8,111, , ,"A loose adaptation of Charlotte Bronte's classic, Jane Eyre. In this version childhood sweethearts are separated and grow up in different worlds. The girl is brought up to be a 'pujaaran' (...                See full summary »"
1476,Battalion 609,2019,Director:Brijesh Batuknath Tripathi,War            ,131 min,2.9,110, , ,The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.
1477,Siddharth: The Prisoner,2009,Director:Pryas Gupta,"Crime, Drama, Thriller            ", ,6.5,110, , ,An ex-convict/aspiring writer's briefcase gets switched with that of a gangster.
1478,Do Jasoos,1975,Director:Naresh Kumar,"Comedy, Mystery            ",135 min,6.1,110, , ,"Two bumbling, middle-aged private detectives, Dharamchand and Karamchand, are assigned to locate the missing daughter, Asha, of a multi-millionaire. Their adventures take them to a gangster...                See full summary »"
1479,Hotel,1981,"Directors:Shyam Ramsay,Tulsi Ramsay","Horror, Mystery            ",135 min,5.9,110, , ,"Suraj is separated from his love Seema and wants to build a hotel at the location where he met her, he tells his secretary Lalwani to check out the location.Lalwani finds the scenic ...                See full summary »"
1480,Kaun Sachcha Kaun Jhootha,1997,Director:Partho Ghosh,"Drama, Mystery, Thriller            ",130 min,5.5,110, , ,"Sapna, a Psychiatrist, falls in love with her patient Karan. When Karan gets normal, he asks Sapna to get married. But she disapproves of this relationship. What could be the reason?"
1481,Aag Ka Gola,1990,Director:David Dhawan,"Action, Drama            ",180 min,4.8,110, , ,Poverty and hunger forces young Shankar to take up employment as a mechanic. To this extent all is well for him until he is arrested by the police for a crime he did not committed; but ...                See full summary »
1482,Professor Pyarelal,1981,Director:Brij,"Action, Crime, Thriller            ",133 min,6.6,110, , ,"Kishinchand has taken to a life of crime, namely that of forging passports, and for that is under surveillance by the police. Upon his wife, Shanti's, and son, Pyarelal's insistence, he ...                See full summary »"
1483,Kodiparakkudu,1989,Director:Bharathiraja, ,143 min,5.7,110, , ,"A mafia leader tries to kill policeman Sivagiri, who took down his illegal businesses, with the help of a lookalike. Later, Sivagiri discovers that the leader is responsible for his father's death."
1484,Uttar Dakshin,1987,Director:Prabhat Khanna,"Action, Drama            ",155 min,4.3,110, , ,"At the time of his mother's death, Raja comes to know that his father is still alive and living a wealthy life. Raja now befriends Shankran, his step-brother."
1485,Swati,1986,Director:Kranthi Kumar,Drama            ,151 min,6.7,110, , ,"Sharda, a nurse and single mother, raises her daughter Swati as an independent, articulate young woman. Swati is a strong advocate of women's rights in a society where there is significant ...                See full summary »"
1486,Tawaif,1985,Director:B.R. Chopra,"Comedy, Drama, Romance            ",160 min,7.1,110, , ,A courtesan accidentally comes to the house of a humble man and lives in the civil society without revealing about her profession. She falls for the man but her past forbids a union between them.
1487,Naya Zamana,1971,Director:Pramod Chakravorty,"Drama, Romance            ",151 min,6.9,110, , ,An idealistic young man fights against the exploitation of the poor by the rich. He had been at the receiving end of their exploitation when a book actually written by him was credited to a rich man.
1488,Geet,1970,Director:Ramanand Sagar,"Action, Crime, Musical            ", ,6.8,110, , ,"Delhi-based Kamla lives a wealthy lifestyle along with her widower dad, Dindayal, and is a popular stage singer and dancer. She goes for a holiday in scenic Kulu, meets with flute-player ...                See full summary »"
1489,Baaz,1953,Director:Guru Dutt,"Action, Adventure, Musical            ",140 min,7.3,110, , ,"Nisha lives a poor lifestyle in the Portuguese-ruled Malabar region in India along with her widowed dad, Narayan Das. Both father and daughter are opposed to the oppressive rule of the ...                See full summary »"
1490,Yours Truly,2018,Director:Sanjoy Nag,Drama            ,84 min,6,109, , ,"Amidst the daily din of the local trains in Calcutta, a lonely working woman in her late fifties finds herself falling in love with the voice of the railway announcer."
1491,1982 - A Love Marriage,2017,Director:Prashant Gore,Comedy            ,113 min,5.5,109, , ,Arranged Marriage v/s Love Marriage..
1492,Login,2012,Director:Sanjeev Reddy,"Drama, Thriller            ",125 min,5.8,109, , ,This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.
1493,The Waiting Room,2010,Director:Maneej Premnath,"Crime, Drama, Mystery            ",90 min,5.5,109, , ,People in a railway station waiting room suspect one of them is a serial killer.
1494,Bombay Summer,2009,Director:Joseph Mathew,Drama            ,102 min,5.8,109, , ,"Bombay Summer explores the fleeting and delicate friendship between three young people in Mumbai, India and its eventual disintegration in the face of betrayal and personal loss."
1495,Betaabi,1997,Director:Rajesh Ram Singh,"Drama, Romance            ",188 min,4.5,109, , ,"Sameer and Sheena's marriage was fixed when they were children, but now she has decided to marry him only on the condition that he will abduct her and take her to Mumbai."
1496,Banjaran,1991,Director:Harmesh Malhotra,"Drama, Romance            ",145 min,5.2,109, , ,"Reshma and Kumar are mysteriously haunted by each other from their past lives. When they finally meet, they instantly fall in love, but their fathers attempt to separate them."
1497,Phool,1993,Director:Singeetam Srinivasa Rao,Romance            , ,4.8,109, , ,"Farmers Dharamraaj and Balram Choudhary are two friends who live in Ram Nagar in scenic Ooty. While Dharamraaj is widowed and lives with his mom and son, Raju, Balram lives with his wife, ...                See full summary »"
1498,Jeena Isi Ka Naam Hai,2017,Director:Keshhav Panneriy,Drama            ,173 min,3.7,108, , ,"A bollywood entertainer with universal issues directed by Keshhav Panneriy, this movie stars Arbaaz Khan, Ashutosh Rana, Himansh Kohli, Manjari Phadnis and Prem Chopra."
1499,Love Shagun,2016,Director:Saandesh Nayak,"Comedy, Romance            ",120 min,4.5,108, , ,"JD must battle astrological problems surrounding his marriage, his mothers incessant nagging and his friends advising him on relationships in order to find an ideal life partner."
1500,Gumnaam: The Mystery,2008,Director:Neeraj Pathak,"Action, Crime            ",107 min,3.8,103, , ,A male tries to locate his model-turned-actress girlfriend after she mysteriously disappears.
1501,Say Salaam India: 'Let's Bring the Cup Home',2007,Director:Subhash Kapoor,"Drama, Sport            ",130 min,6.3,103, , ,"Principal Goswami of prestigious Royal Heritage High School recruits his chum, Hari Sadu, to coach his school's five-time winning cricket team, only to let him go following complaints of ...                See full summary »"
1502,Pyaasa,2002,"Directors:Anil Mattoo,A. Muthu","Drama, Romance            ",137 min,3.3,103, , ,"Suraj Thakur (Aftab Shivdasani) is one of three children in the Thakur household. He has a brother, Prem (Zulfi Sayed), and a sister, Suman (Saadhika). Suraj does not measure up to his ...                See full summary »"
1503,Katilon Ke Kaatil,1981,"Directors:Anil Hingorani,Arjun Hingorani","Action, Comedy, Drama            ",199 min,6.5,103, , ,"A wealthy woman faces trauma when her husband is killed, and both her young sons abducted. She spends years looking for them, until one day she comes across a young man named Munna, who is ...                See full summary »"
1504,Saat Rang Ke Sapne,1998,Director:Priyadarshan,"Drama, Romance            ",171 min,5.8,103, , ,"Forced into marriage with a mentally deranged man, Yashoda (Farida Jalal) gives birth to a child, only to have her husband kill himself and the child, leaving her devastated and alone. This...                See full summary »"
1505,Do Badan,1966,Director:Raj Khosla,"Drama, Romance            ", ,7.4,103, , ,"Vikas comes from a poor family, and is attending college so that he can complete his studies, get a job, and financially look after himself and his dad. He meets with wealthy Asha at this ...                See full summary »"
1506,S. P. Parasuram,1994,Director:Ravi Raja Pinisetty,"Action, Drama            ",140 min,5.3,103, , ,A strict Police officer tries to go after criminals but ends up as the bodyguard of a minister whom he had jailed in the past for being a rowdy sheeter.
1507,Dharm Adhikari,1986,"Directors:K. Raghavendra Rao,M. Madhusudhana Rao","Action, Comedy, Drama            ",159 min,5.9,103, , ,"The compelling story of honest and ethical Dharamraj of Nand Gaon village, whose very name instills fear amongst wrong-doers. Ironically, the very man whose family has been administering ...                See full summary »"
1508,Anokhi Raat,1968,Director:Asit Sen,"Crime, Drama, Mystery            ",120 min,7.3,103, , ,"In order to save her grandfather's mansion, Rama agrees to marry a much older male, Madanlal, who decides to sell some artifacts to prospective wealthy buyers, including Mr. and Mrs. Rai. ...                See full summary »"
1509,Ek Nazar,1972,Director:B.R. Ishara,"Drama, Romance            ", ,6.1,103, , ,"Leading lawyer and public prosecutor, Raghunath Tyagi, lives an upper middle- class life in India with his only son, Akash Manmohan. Raghunath would like his son to take an interest in law ...                See full summary »"
1510,Baharen Phir Bhi Aayengi,1966,Director:Shaheed Latif,"Drama, Romance            ",139 min,7.1,103, , ,"Jitendra Gupta lives a poor lifestyle in Calcutta, India, along with his elder and widowed sister, and a niece named Sushma. He works in the editorial department of a leading newspaper. He ...                See full summary »"
1511,Yaadein,1964,Director:Sunil Dutt,"Drama, Mystery            ",113 min,7.6,103, , ,"The film is soliloquy of a man who comes home to find that his wife and son are not at home, he assumes that they have left him and reminiscences his life with them, and scared of his life ...                See full summary »"
1512,Munimji,1955,Director:Subodh Mukherji,"Comedy, Musical, Romance            ",163 min,7.5,103, , ,"Roopa lives a wealthy lifestyle with her widowed dad, Captain Suresh, and brother, Shekhar. After she returns from abroad, she is told that she must now prepare to get married to her ...                See full summary »"
1513,Namdev Bhau in Search of Silence,2018,Director:Dar Gai,Adventure            ,84 min,7.5,102, , ,"Namdev Bhau, a 65 year old chauffeur, who is tired of the noises in the obstreperous Mumbai City life and has completely stopped speaking, decides to leave everything in search for 'Silent ...                See full summary »"
1514,Panchlait,2017,Director:Prem Prakash Modi,Drama            , ,8.5,102, , ,"Set in either the 1950s or 1960s, Panchlait tells the story of a small village in North India that still has no electricity and its people live in darkness, engrossed in its own little ...                See full summary »"
1515,Main Tumhare Bachche ki Maa Banne Waali Hoon,2017,Director:Ashish Lal,Romance            ,45 min,6.8,102, , ,"Two years into marriage and just like most couples, love is lost between the old love birds, Saaya and Sarthak. Saaya's naughty but caring neighbour Rukmini gives her some tips, those ""...                See full summary »"
1516,Mere Khwabon Mein Jo Aaye,2009,Director:Madhureeta Anand,"Drama, Fantasy, Musical            ",119 min,5.6,102, , ,"Mere Khwabon Mein Jo Aaye is the story of Maya. Maya lives in New Delhi, is married to Vikram and has a daughter Priya. Maya's life is mundane and centres around her family. One evening she...                See full summary »"
1517,Machaan,2021,Director:Nitesh Tiwari,"Drama, Romance            ",124 min,6.7,102, , ,"All villagers started driving off Bhola with fire, lathis, lanterns, etc. To throw him out of village. Bhola pleaded that he would never enter the village, but villagers started pelting stones over him, and soon Bhola stopped breathing."
1518,Darwaza,1978,"Directors:Shyam Ramsay,Tulsi Ramsay",Horror            ,117 min,6,102, , ,"For generations, a family lives in fear of a dark and terrible curse."
1519,Anokha Bandhan,1982,Director:Mehul Kumar,Drama            ,134 min,7.4,102, , ,"A woman takes care of a young boy as her own son, and the challenges that follow."
1520,Shatranj,1993,Director:Aziz Sejawal,"Comedy, Drama, Romance            ", ,6.3,102, , ,Dharamraj dislikes women and has told his younger brothers to stay away from them.
1521,Kismet,1943,Director:Gyan Mukherjee,Drama            ,143 min,7.4,102, , ,"When Shekhar comes to know that Rani became disabled because of him, he decides to help her by hiding his real identity."
1522,2016 the End,2017,Director:Jaideep Chopra,Comedy            ,130 min,5,101, , ,Four friends come upon the secret knowledge that the world is going to end in seven days and set off on a road trip to enjoy the few days they have left to live.
1523,Maazii,2013,Director:Jaideep Chopra,"Crime, Drama, Thriller            ",123 min,5.9,101, , ,Tarun and his wife Shrishti are living a happy life with there daughter . One day to save the Honor of a woman Tarun accidentally kills two gangsters. After this his black past unfolds and ...                See full summary »
1524,Masoom,1996,Director:Mahesh Kothare,"Action, Comedy, Thriller            ",130 min,5.8,101, , ,"Kishan is the only son of Yashoda and Vikram Singh. Vikram is killed by a gangster Barood. A youngster named Akash, who is an investigating journalist. At any cost he wants Barood to be ...                See full summary »"
1525,Geet Gaaya Pattharon Ne,1964,Director:Shantaram Rajaram Vankudre,"Drama, Musical, Romance            ", ,6.4,101, , ,An impoverished sculptor marries his inspiration but is then betrayed by her.
1526,Aakrosh: Cyclone of Anger,1998,Director:Lateef Binny,"Action, Crime, Drama            ", ,4.6,101, , ,An officer faces personal challenges after he is assigned to stop killers of the Prime Minister.
1527,Aag Hi Aag,1987,Director:Shibu Mitra,Action            ,170 min,5.4,101, , ,"Army officer Bahadur Singh is recalled to duty on very day his wife gives birth to son Vijay. While way back on duty, Bahadur Singh's village is attacked by decoites, his sister raped and ...                See full summary »"
1528,Karz Chukana Hai,1991,Director:Vimal Kumar,Drama            , ,5.5,101, , ,"Alcoholic, arrogant, and a slacker, Atmaram, though coming from a poor family, has visions of grandeur, and believes that everyone else is subordinate to his wishes and instructions. This ...                See full summary »"
1529,Himalay Ki Godmein,1965,Director:Vijay Bhatt,"Adventure, Drama, Family            ",120 min,6.8,101, , ,"Sunil, son of D.I.G. Shyamlal Mehra, is back in India after successful completion of his medical studies. He gets an offer to work with his fiancée Dr. Neeta Verma, in a private hospital ...                See full summary »"
1530,Majhli Didi,1967,Director:Hrishikesh Mukherjee,Drama            ,136 min,7.6,101, , ,"Bipinchandra breaks family tradition by marrying a city girl, Hemangini, much to the chagrin of his sister-in-law, Kadambini, and her husband, Navinchandra. Things are delicate even after ...                See full summary »"
1531,Ashad Ka Ek Din,1971,Director:Mani Kaul,"Biography, Drama            ",114 min,7.4,101, , ,"Aashad Ka Ek Din is an adaptation of the play that is based on Kalidasa's life in three acts. Kalidasa is renowned as one of the greatest writers, poets and dramatists in the history of Sanskrit language."
1532,Devdas,1936,Director:P.C. Barua,"Drama, Romance            ",139 min,6.2,101, , ,"Devdas (Saigal/Barua), son of a zamindar, and Parvati (aka Paro)(Jamuna), his poor neighbour's daughter, are childhood sweethearts. Status and caste differences prevent their marriage and ...                See full summary »"
1533,Shreelancer,2017,Director:Sandeep Mohan,Drama            ,93 min,7.2,100, , ,"Shree, a Bangalore-based freelance copywriter who is in his mid-20's struggles to cope with the self-doubts about his artistic abilities. Whilst, he continues to work for small-time ad ...                See full summary »"
1534,Chase,2010,Director:Jag Mundhra,"Action, Crime, Drama            ",103 min,4.9,100, , ,Police launch a manhunt for an escaped rehab-patient/terrorist responsible for the assassination of a politician
1535,Meridian Lines,2013,Director:Venod Mitra,Drama            , ,6.6,100, , ,A poor road worker sets off a chain of events that bring karmic balance to seven very troubled strangers. KARMAYA simplifies the complexities of the karmic mechanisms that bind present ...                See full summary »
1536,Tauba Tauba,2004,Director:T.L.V. Prasad,"Comedy, Drama            ",121 min,2.7,100, , ,"Tauba Tauba, tells the tale of 15-year-old Sunny (Amin Gazi), a motherless child of a business tycoon, Mohan Shanbagh (Ayub Khan). Sunny is obsessed with sex, this is partially due to ...                See full summary »"
1537,Insaaf: The Justice,2004,Director:Shrey Srivastava,"Action, Drama            ",136 min,4,100, , ,"Vishwanath Prasad is an Indian Administrative Service officer and lives in Bombay with his wife, Kunti, and a daughter, Sanaa. One night when he returns home, his wife tells him that she ...                See full summary »"
1538,Phir Wohi Raat,1980,Director:Danny Denzongpa,"Crime, Horror, Mystery            ",146 min,6.7,100, , ,An edge of the seat thriller about a woman and her hallucinations and what happens when she meets the woman she dreamt about!
1539,Maa,1976,Director:M.A. Thirumugham,"Drama, Family            ",137 min,6.5,100, , ,"Vijay lives with his mother in a palatial house deep in the jungles in South India where he makes a living trapping animals for circuses, zoos - both nationally and internationally. He ...                See full summary »"
1540,Mujhe Meri Biwi Se Bachaao,2001,Director:Harry Baweja,"Comedy, Musical, Family            ", ,4.2,100, , ,"Anand Mathur comes from a middle-class background, but has always dreamed of living in luxury. His dreams take form when he meets with the only daughter, Kamini, of an aging and sick ...                See full summary »"
1541,Satyamev Jayate,1987,Director:Raj N. Sippy,"Action, Drama            ", ,6.7,100, , ,Inspector Arjun Singh is a tough cop whose known to loose his cool on criminals due to this has been transferred many a times and also accused of custodial death.Arjun arrests a criminal ...                See full summary »
